人气排序,小说名称,作者,小说类型,总点击数,会员周点击数,总字数,评论数,评分,小说性质,写作进程,授权状态,更新时间
1363,宅男的动漫之旅,宅的试炼,二次元小说,29372,2,198683,260,0,VIP作品,新书上传,专属作品,2015/4/18 20:54
1364,神级演技派,不如安静,都市小说,685417,48,1621532,2878,9.3,公众作品,已经完本,Ａ级签约,2015/1/27 23:42
1365,唐门高手在异世,莫默,玄幻小说,8745649,27,3536683,12273,9.4,公众作品,已经完本,Ａ级签约,2012/10/18 13:59
1366,神奇宝贝之灾厄,懒得个性,二次元小说,233433,22,1236440,1721,10,VIP作品,连载中,专属作品,2016/10/22 23:30
1367,赝医,望平安,历史小说,598475,4,2535708,1720,8.6,公众作品,已经完本,Ａ级签约,2015/10/5 11:59
1368,明瓦,高架红绿灯,历史小说,544332,0,310110,644,10,公众作品,新书上传,Ａ级签约,2015/3/22 21:10
1369,生肖守护神,唐家三少,都市小说,18770195,27,3009517,3963,9.1,公众作品,已经完本,Ａ级签约,2009/12/15 17:32
1370,娇妻如云,上山打老虎额,历史小说,5851288,50,3169544,10555,9.3,公众作品,已经完本,Ａ级签约,2012/4/22 8:56
1371,魔法与科学的最终兵器,千年帝国海军上校,奇幻小说,707867,73,2503517,4215,9.4,公众作品,新书上传,Ａ级签约,2016/10/6 15:57
1372,洪荒之截教首徒,死神之翼0,仙侠小说,459551,79,1231967,734,5.6,公众作品,已经完本,签约作品,2016/9/10 13:37
1373,不一样的2015,我的夫人萌萌哒,职场小说,64295,5,477924,664,10,VIP作品,已经完本,专属作品,2016/5/16 1:19
1374,不朽星空,废稿三千,科幻小说,575743,101,2002394,1835,9.5,公众作品,已经完本,Ａ级签约,2015/7/23 1:07
1375,我与五更琉璃的日常,高坂穗乃果,二次元小说,52026,1,220908,1966,10,VIP作品,情节展开,专属作品,2016/4/6 19:20
1376,位面之神级商人,狂小子唐天,科幻小说,50446,6,38051,243,0,VIP作品,已经完本,专属作品,2016/9/9 22:47
1377,九棺,山河万朵,仙侠小说,384023,22,3018067,2797,9.8,公众作品,精彩纷呈,Ａ级签约,2016/10/19 19:00
1378,魔幻版主神成长日志,迷茫的蛇,科幻小说,468924,47,1089796,2657,9.6,公众作品,已经完本,Ａ级签约,2015/9/30 13:33
1379,凡人同人之超仙,续立,二次元小说,223293,3,3043726,2618,9.6,公众作品,已经完本,书坊签约,2015/3/7 11:47
1380,末世重生之龙帝,天不负01,科幻小说,2030014,61,3060932,7017,9.4,公众作品,新书上传,Ａ级签约,2016/7/11 0:01
1381,赵沐阳的文玩人生,池塘生春草223,都市小说,145089,24,1420898,2588,10,公众作品,新书上传,Ａ级签约,2015/6/12 23:52
1382,变身志,天摩尼,二次元小说,52996,44,548520,2334,10,VIP作品,新书上传,潜力签约,2015/10/12 15:25
1383,走错片场的潜水舰,雷霆战斧EX,科幻小说,55700,12,265894,1235,10,VIP作品,新书上传,专属作品,2015/12/20 22:33
1384,带着空间闯美国,白码忘字,都市小说,491825,30,640430,1010,0,公众作品,新书上传,Ａ级签约,2015/7/13 19:04
1385,无上圣道,念头,玄幻小说,56693,10,2549664,107,6,公众作品,连载中,签约作品,2015/7/12 14:57
1386,西游之妖龙,_大少,仙侠小说,52260,67,353700,589,0,VIP作品,连载中,专属作品,2016/10/23 15:22
1387,天剑御道,梁乘辅,仙侠小说,1959072,12,1362968,5926,9.8,公众作品,已经完本,Ａ级签约,2016/6/23 0:13
1388,武道丹尊,暗魔师,玄幻小说,59395,74,2870533,139,9.3,公众作品,已经完本,签约作品,2014/11/7 11:57
1389,韩娱之璀璨人生,守一世清贫,职场小说,28016,9,166217,149,0,VIP作品,新书上传,专属作品,2016/8/24 1:13
1390,动漫热,妖娆血花,科幻小说,1202900,33,1217706,8264,9.7,公众作品,新书上传,Ａ级签约,2015/3/13 21:16
1391,闲唐,Devil伟伟,历史小说,349801,34,441102,996,10,公众作品,新书上传,Ａ级签约,2015/11/7 21:11
1392,随身带着未来空间,子云非云,都市小说,1799940,159,1366969,2938,9.4,公众作品,已经完本,Ａ级签约,2016/7/30 14:53
1393,楚门的奇妙旅行,八云空,科幻小说,17250,2,161523,235,10,VIP作品,新书上传,专属作品,2015/10/12 17:57
1394,沙漠圣贤,穆斯塔法本哈立德,奇幻小说,481596,19,1140773,1625,9.9,公众作品,情节展开,Ａ级签约,2016/10/9 19:48
1395,日在火影,某胖,二次元小说,654359,133,836729,3260,9.8,VIP作品,情节展开,授权作品,2016/9/16 16:03
1396,转生魅魔,绝代腰包,都市小说,82476,38,533543,1610,9.8,VIP作品,新书上传,Ａ级,2016/4/15 22:16
1397,掌中大世界,老海讼歌,都市小说,99701,8,1323661,819,10,公众作品,新书上传,Ａ级签约,2016/7/5 20:28
1398,王者之英雄联盟,魔道弟子,游戏小说,39259,1,88991,558,10,VIP作品,已经完本,Ａ级,2015/5/4 17:49
1399,三国之模拟城市,懒猫不瘦,游戏小说,3446883,197,4091765,7919,7.4,公众作品,已经完本,Ａ级签约,2016/8/5 12:33
1400,九代医王,无所不骑,都市小说,48123,3,307628,232,0,VIP作品,新书上传,Ａ级,2015/9/30 11:53
1401,假如神也玩游戏,冰封完美,游戏小说,113997,1,786927,1060,10,公众作品,已经完本,Ａ级签约,2015/9/24 11:31
1402,调教太平洋,河马散人,历史小说,5120348,192,3740244,18187,9.6,公众作品,已经完本,Ａ级签约,2012/4/16 13:42
1403,上品寒士,贼道三痴,历史小说,5999280,123,1551490,28167,8.5,公众作品,已经完本,Ａ级签约,2011/4/20 7:44
1404,大反派也有春天,熏香如风,科幻小说,444621,174,3495989,5559,9.5,公众作品,精彩纷呈,Ａ级签约,2016/10/22 23:11
1405,刑名师爷,沐轶,历史小说,3504477,7,2579801,2778,6.7,公众作品,已经完本,Ａ级签约,2009/6/7 21:12
