人气排序,小说名称,作者,小说类型,总点击数,会员周点击数,总字数,评论数,评分,小说性质,写作进程,授权状态,更新时间
366,大漫画,三月一,职场小说,718024,142,3344081,6800,9.3,公众作品,已经完本,Ａ级签约,2016/4/30 0:36
367,三国之魏武曹操,诸神创世,历史小说,661848,173,2643560,3422,9.1,公众作品,新书上传,Ａ级签约,2016/10/23 15:05
368,跃马西凉,朝盖,历史小说,500787,58,1287284,1830,9.5,公众作品,已经完本,Ａ级签约,2015/8/5 1:02
369,仙壶农庄,狂奔的海马,都市小说,2556738,147,4350987,9625,9.5,公众作品,已经完本,Ａ级签约,2015/3/17 10:53
370,黄金渔场,全金属弹壳,都市小说,2931867,729,4202243,88632,9.8,公众作品,已经完本,Ａ级签约,2016/4/26 11:56
371,傲世九重天,风凌天下,玄幻小说,34858849,449,8428472,242897,9.8,公众作品,精彩纷呈,Ａ级签约,2015/1/20 15:21
372,神话入侵,末羽,科幻小说,1315840,99,2840276,6836,9.2,公众作品,已经完本,Ａ级签约,2015/5/14 8:15
373,全能武侠系统,太乙大真人,都市小说,1177675,215,2168012,13160,9.7,公众作品,新书上传,Ａ级签约,2016/9/25 16:30
374,神道符召,雪满林中,仙侠小说,310176,45,1360672,2101,9.7,公众作品,已经完本,Ａ级签约,2015/9/10 12:01
375,重启大明,荆洚晓,历史小说,648605,138,3636818,4357,9.4,公众作品,新书上传,Ａ级签约,2015/8/23 11:05
376,足球豪门,陈爱庭,体育小说,323520,123,3898223,3245,9.5,公众作品,已经完本,签约作品,2016/3/11 18:00
377,全装战姬,月下小狐,科幻小说,142186,15,1465748,3118,9.9,公众作品,已经完本,Ａ级签约,2015/7/9 15:25
378,我的女友是仙子,先飞看刀,都市小说,309886,75,2718650,8710,9.7,公众作品,已经完本,Ａ级签约,2015/10/2 14:21
379,天才相师,打眼,都市小说,22504098,234,2825331,100239,9.7,公众作品,已经完本,Ａ级签约,2015/12/12 16:20
380,穿梭在武侠世界的剑客,黑暗LOLI,科幻小说,626259,61,585198,895,10,公众作品,已经完本,Ａ级签约,2015/7/19 14:23
381,玩宝,冬雪晚晴,都市小说,828658,94,1468633,3834,9.7,公众作品,已经完本,Ａ级签约,2015/7/17 1:23
382,武帝丹神,夜色访者,玄幻小说,729821,184,1962046,5139,9.9,公众作品,已经完本,Ａ级签约,2016/3/5 18:13
383,超级科技霸主,落地飞鹰,都市小说,519812,148,1949233,5363,6.8,公众作品,新书上传,Ａ级签约,2015/12/27 21:01
384,药神,静夜寄思,玄幻小说,1594403,144,3162781,6357,9.3,公众作品,新书上传,Ａ级签约,2016/4/12 18:27
385,穿越民国大商人,昨夜大雨,历史小说,526617,248,1024475,1516,9.5,公众作品,已经完本,Ａ级签约,2015/9/8 9:06
386,金庸绝学异世横行,御剑斋,玄幻小说,2012760,45,4384609,11300,9.5,公众作品,精彩纷呈,Ａ级签约,2016/9/13 14:34
387,武魂觉醒,大昆仑,玄幻小说,233718,47,1813512,595,9.7,公众作品,已经完本,签约作品,2015/7/1 20:36
388,地狱电影院,黑色火种,灵异小说,1217343,298,3925865,17602,9.4,公众作品,精彩纷呈,Ａ级签约,2016/10/22 23:54
389,超级战兵,一丝不苟,都市小说,3293119,510,7447035,7378,9.3,公众作品,连载中,Ａ级签约,2016/10/23 11:47
390,仙医妙手,周郎羡,都市小说,1178409,134,2159210,4178,9.2,公众作品,已经完本,Ａ级签约,2015/7/31 23:34
391,英雄联盟之女主播,可乐中毒,游戏小说,814039,31,1925084,7985,9.5,公众作品,已经完本,Ａ级签约,2015/4/15 11:46
392,极品小农场,名窑,都市小说,1519336,1084,6403207,53837,9.4,公众作品,情节展开,Ａ级签约,2016/10/22 23:58
393,逆袭万岁,霞飞双颊,都市小说,1267086,98,2919904,21189,9.9,公众作品,新书上传,Ａ级签约,2016/10/13 0:14
394,大官人,三戒大师,历史小说,489133,2032,3876812,12210,9.6,公众作品,连载中,签约作品,2016/10/23 8:50
395,锦衣夜行,月关,历史小说,19760557,224,3822450,140482,9.8,公众作品,已经完本,Ａ级签约,2012/10/17 21:37
396,山神,宝石猫,仙侠小说,539652,54,3557970,10961,9.4,公众作品,新书上传,Ａ级签约,2016/1/31 16:36
397,英雄联盟之极品天才,小木不是小暮,游戏小说,583448,74,3427816,8251,9.7,公众作品,已经完本,Ａ级签约,2016/7/17 20:50
398,枪械主宰,突然光和热,游戏小说,629592,431,1972778,15060,9.7,公众作品,新书上传,Ａ级签约,2016/10/22 21:40
399,霹雳之丹青闻人,浮云奔浪,二次元小说,911903,61,2783670,4304,9.8,VIP作品,新书上传,专属作品,2016/3/7 9:51
400,召唤圣剑,西贝猫,游戏小说,3971449,112,5937994,26446,9.6,公众作品,已经完本,Ａ级签约,2015/1/23 16:34
401,神级圣骑,一枕孤梦,游戏小说,404620,81,1074155,2121,9.7,公众作品,已经完本,Ａ级签约,2016/7/8 18:51
402,神魔时代,东水流,玄幻小说,104686,15,1922660,462,9.4,公众作品,已经完本,签约作品,2015/7/2 4:00
403,万界天王2,罗森,玄幻小说,34757,11,682867,4148,9.8,公众作品,新书上传,Ａ级签约,2015/11/6 7:01
404,星期天神大人不在家,悠悠晓仙,二次元小说,539507,5,1306334,4299,9.8,VIP作品,情节展开,专属作品,2015/10/29 19:38
405,斗破苍穹,天蚕土豆,玄幻小说,149842883,535,5324579,516305,7.3,公众作品,出版中,Ａ级签约,2013/7/3 11:18
406,道门法则,八宝饭,仙侠小说,254299,13,763503,3304,9.9,公众作品,新书上传,Ａ级签约,2015/8/26 1:44
407,位面穿越之帝王之路,王不过霸,游戏小说,609456,238,2353646,5586,9.7,公众作品,已经完本,Ａ级签约,2016/8/3 15:43
408,医圣记,董南乡,历史小说,542409,138,991070,4751,9.8,公众作品,已经完本,Ａ级签约,2015/8/26 6:01
409,八云家的大少爷,八云家的夜鸦,科幻小说,628127,101,2024150,13700,8.9,公众作品,已经完本,Ａ级签约,2016/3/6 16:11
410,九转重生,六品菠萝,都市小说,1181495,95,1998195,5348,9.3,公众作品,已经完本,Ａ级签约,2016/7/23 15:19
411,龙族中的黑光,笔者深井冰,二次元小说,306931,195,531836,5248,10,VIP作品,情节展开,专属作品,2016/10/20 23:52
412,在少时身边的日子,肥小土,职场小说,174567,53,1862199,2564,7.9,公众作品,新书上传,Ａ级签约,2016/10/13 21:17
413,双鹰旗下,准噶尔刀王,历史小说,543834,27,793673,1446,9.7,公众作品,新书上传,Ａ级签约,2016/1/18 16:01
414,神级天赋,长歌扬,游戏小说,3156963,50,3209876,7858,9.5,公众作品,精彩纷呈,Ａ级签约,2016/6/25 14:42
415,极品修真邪少,面红耳赤,仙侠小说,3349615,82,4798815,7894,9.4,公众作品,已经完本,Ａ级签约,2015/6/14 18:08
416,全能仙医,谋逆,都市小说,539779,176,1884681,3810,9.5,公众作品,已经完本,Ａ级签约,2016/3/14 19:15
417,末日领主,想枕头的瞌睡,科幻小说,719837,192,2648021,6745,9.1,公众作品,已经完本,Ａ级签约,2016/5/10 18:40
418,那位拿着火把的丧尸小姐,佐伯伽椰子,二次元小说,400464,6,884691,2996,9.8,VIP作品,新书上传,签约作品,2015/4/30 14:45
419,最强弃少,鹅是老五,仙侠小说,20361700,625,7043760,135679,9.7,公众作品,已经完本,Ａ级签约,2014/6/8 9:22
420,传奇大英雄,墨乡,游戏小说,437086,142,2549246,5020,9.5,公众作品,已经完本,Ａ级签约,2016/2/11 18:03
421,武尊道,狗狍子,玄幻小说,1760049,72,3202047,5416,9.4,公众作品,已经完本,Ａ级签约,2015/4/30 10:24
422,皇牌龙骑,高森,玄幻小说,1175534,157,4397822,6632,9.5,公众作品,已经完本,Ａ级签约,2016/5/12 2:00
423,网游之逆天戒指,上古圣贤,游戏小说,581328,182,3688393,4620,9.7,公众作品,连载中,签约作品,2016/10/22 22:44
424,我是全民女神,残秋当惜,都市小说,677001,57,1910690,5577,9.6,公众作品,已经完本,Ａ级签约,2015/11/20 19:58
425,逍遥渔夫,醛石,都市小说,959179,571,1765090,10977,9.7,公众作品,已经完本,Ａ级签约,2015/11/25 19:22
426,我的手机连着塞伯坦,牛头十字军,都市小说,613508,62,2960009,3069,9.8,公众作品,已经完本,Ａ级签约,2015/12/31 13:10
427,大反派虐杀原型,胸部星人,科幻小说,443541,6,199791,1623,10,公众作品,新书上传,Ａ级签约,2015/5/1 14:21
428,花与剑与法兰西,__出_,历史小说,395117,132,3301971,10996,9.9,公众作品,新书上传,Ａ级签约,2016/10/20 0:04
429,重生大玩家,邱天27,都市小说,958290,40,1468526,8048,9.6,公众作品,已经完本,Ａ级签约,2015/5/25 9:41
430,柯南之我不是伪娘,你那么可爱,二次元小说,275028,330,63455,2904,10,VIP作品,精彩纷呈,专属作品,2016/10/21 9:07
431,重生之第二帝国,幽泠秋月,历史小说,609415,103,2371197,4256,9.7,公众作品,已经完本,Ａ级签约,2015/8/12 23:07
432,全球怪物在线,再来一支大雪茄,科幻小说,1437777,161,4890264,7321,8,公众作品,已经完本,Ａ级签约,2016/6/2 23:59
433,韩娱之我为搞笑狂,da明白,职场小说,368652,150,2977270,5663,9.9,公众作品,情节展开,Ａ级签约,2016/10/20 23:26
434,杀神,逆苍天,玄幻小说,18688475,166,5058097,37259,9.5,公众作品,已经完本,Ａ级签约,2013/6/24 14:03
435,重生电子帝国,麻辣斯基,都市小说,464300,83,1916861,7558,9.6,公众作品,新书上传,Ａ级签约,2016/7/19 22:32
436,位面养殖专家,呼延乱语,玄幻小说,403874,18,2668955,3267,9.2,公众作品,精彩纷呈,Ａ级签约,2016/6/21 0:42
437,星际之死神传奇,金沙流水,科幻小说,3288814,78,4494692,10636,9.5,公众作品,已经完本,Ａ级签约,2016/6/22 13:07
438,都市大仙君,沧月傲天,都市小说,1040295,178,3184984,5446,8.5,公众作品,精彩纷呈,Ａ级签约,2016/7/5 22:23
439,人生拯救计划,再来一支大雪茄,科幻小说,195704,6,686823,2238,9.9,公众作品,新书上传,Ａ级签约,2015/9/13 23:48
440,不只是骷髅,刺杀者信仰,奇幻小说,236940,99,721417,3351,10,公众作品,情节展开,Ａ级签约,2016/10/19 8:00
441,远山祈酱的无节操大冒险,不好吃的节操,二次元小说,281455,19,1100018,2009,10,VIP作品,情节展开,专属作品,2016/6/22 0:29
442,华夏海权,终极侧位,历史小说,1647745,283,4989510,7543,9.6,公众作品,已经完本,Ａ级签约,2016/3/6 8:45
443,文玩天下,斯达克,都市小说,414517,123,1698316,3128,9.7,公众作品,已经完本,Ａ级签约,2016/3/13 23:46
444,狂神进化,逆天而翔,都市小说,2069829,452,5772777,10010,9.5,公众作品,已经完本,Ａ级签约,2016/9/28 3:44
445,无量真仙,EK巧克力,仙侠小说,7663530,122,3042295,16458,9.4,公众作品,已经完本,Ａ级签约,2016/6/12 12:41
446,火爆巨星,猪头七,体育小说,177291,144,5058089,1394,9.7,公众作品,已经完本,签约作品,2016/8/4 11:23
447,对我而言可爱的她们,懒惰De天,职场小说,166154,35,1670459,2214,9.9,公众作品,情节展开,Ａ级签约,2015/9/30 7:23
448,红色大导演,黑色的单车,职场小说,791087,190,2572255,5583,9.3,公众作品,已经完本,Ａ级签约,2015/4/18 11:42
449,好莱坞制作,白色十三号,都市小说,815639,348,2955381,12367,9.6,公众作品,已经完本,Ａ级签约,2016/5/4 20:32
450,天启之门,跳舞,都市小说,3073993,700,2178994,143474,9.9,公众作品,精彩纷呈,Ａ级签约,2016/10/22 23:25
451,翡冷翠的时代,NTR骑士,体育小说,1444437,150,3202759,4207,10,VIP作品,已经完本,Ａ级,2016/9/29 20:47
452,燃烧的莫斯科,红场唐人,历史小说,747633,247,5461410,8093,9.9,公众作品,情节展开,Ａ级签约,2016/10/22 22:50
453,星河主宰,彩虹之门,玄幻小说,300401,36,464056,2353,9.8,公众作品,已经完本,Ａ级签约,2015/7/1 10:47
454,穿越女主角,飞扬地,科幻小说,259887,50,3041612,7451,9.8,公众作品,连载中,Ａ级签约,2016/10/23 13:03
455,神级管家,蓝豆生南国,都市小说,703147,63,3461673,6758,9.6,公众作品,新书上传,Ａ级签约,2016/8/10 18:04
456,万族王座,鸿蒙树,玄幻小说,1862798,41,4764154,8698,9.6,公众作品,已经完本,Ａ级签约,2015/10/1 11:38
457,狩魔领主,死翼耐萨里奥,游戏小说,219604,261,1778455,1753,9.6,公众作品,连载中,签约作品,2016/10/22 19:07
458,石头牧场,手撕鲈鱼,都市小说,543227,97,1341156,1898,9.8,公众作品,已经完本,Ａ级签约,2015/8/15 20:25
459,猎击三国,寇十五郎,历史小说,566865,112,1527553,6291,9.7,公众作品,已经完本,Ａ级签约,2016/4/18 10:51
460,国足救世主,那年那兔,体育小说,401165,45,1353382,2868,9.7,公众作品,已经完本,Ａ级签约,2015/6/3 18:37
461,奥术神座,爱潜水的乌贼,玄幻小说,6799760,669,3169725,64926,9.8,公众作品,已经完本,Ａ级签约,2014/8/19 16:54
462,在日本当老师的日子,黑暗骑士殿,都市小说,866633,53,1154998,6323,9.5,公众作品,已经完本,Ａ级签约,2016/5/3 12:50
463,余罪,常书欣,都市小说,238288,556,2920916,3000,9.8,公众作品,已经完本,签约作品,2014/8/31 0:01
464,冒牌女科学家,三明治定理,都市小说,349333,7,388497,3125,9.9,公众作品,新书上传,Ａ级签约,2015/8/3 19:17
465,雪鹰领主,我吃西红柿,玄幻小说,5960346,11003,2373162,322458,9.7,公众作品,连载中,Ａ级签约,2016/10/22 2:45
466,美剧大玩咖,火腿茄子,科幻小说,437183,46,352263,958,10,公众作品,新书上传,Ａ级签约,2015/8/9 15:12
467,重生在好莱坞,白色十三号,职场小说,900903,123,2729482,4419,9.4,公众作品,已经完本,Ａ级签约,2015/3/16 9:22
468,仙源农场,江南三十,都市小说,716571,838,3044203,9670,9.5,公众作品,连载中,Ａ级签约,2016/10/22 23:56
469,大世争锋,水鬼游魂,历史小说,1059586,769,5211648,11554,9.1,公众作品,连载中,Ａ级签约,2016/10/22 22:44
470,汉皇刘备,青牛道人,历史小说,252981,117,855514,1047,10,VIP作品,新书上传,Ａ级,2016/10/9 23:38
471,重启之命运,精神病患牛,二次元小说,810274,80,1537828,2951,9.9,VIP作品,已经完本,专属作品,2016/6/12 23:18
472,我的女儿不可能是魔王,纯洁的小面条,游戏小说,255316,22,1939658,2488,9.6,公众作品,新书上传,Ａ级签约,2016/8/21 15:21
473,英雄领主,爬上树的老虎,游戏小说,793054,103,2654008,5535,9.5,公众作品,情节展开,Ａ级签约,2016/5/16 23:40
474,网游之近战法师,蝴蝶蓝,游戏小说,11006694,206,3761822,33045,9,公众作品,已经完本,Ａ级签约,2011/2/28 17:02
475,神雕战神,不啃菠萝皮,仙侠小说,639502,89,1936155,3770,9,公众作品,已经完本,Ａ级签约,2015/10/1 12:01
476,深渊中走出的道士,无谓西东,奇幻小说,946759,73,873995,1989,10,公众作品,已经完本,Ａ级签约,2015/7/9 23:44
477,骁骑,虎贲中郎,历史小说,917101,87,4201428,2798,9.8,公众作品,已经完本,Ａ级签约,2015/5/8 1:44
478,全球之英雄联盟,魔道弟子,游戏小说,912866,29,1809062,8313,9.4,公众作品,已经完本,Ａ级签约,2015/3/8 14:46
479,决斗啦大叔,黑炭,游戏小说,382073,33,979724,2266,9.8,公众作品,已经完本,Ａ级签约,2015/6/5 9:04
480,超级兵王在都市,明日复明日,都市小说,187086,176,8252494,1266,9.8,公众作品,连载中,签约作品,2016/10/23 12:01
481,武侠世界逍遥行,微笑啊微笑,游戏小说,1071596,221,2188176,7085,9.6,公众作品,连载中,Ａ级签约,2016/10/12 21:52
482,至高悬赏,酒煮核弹头,科幻小说,1575023,176,3794194,9986,9.7,公众作品,新书上传,Ａ级签约,2016/10/22 22:53
483,很纯很暧昧,鱼人二代,都市小说,20269710,175,6811971,28620,6.2,公众作品,已经完本,Ａ级签约,2013/4/29 21:01
484,龙脉猎人,超侧卫,奇幻小说,326969,124,1119776,1985,9.7,公众作品,已经完本,Ａ级签约,2015/9/28 20:36
485,位面旅途之寻找百合,乔治亚,二次元小说,641271,9,1137165,4971,9.9,VIP作品,连载中,专属作品,2015/7/12 16:36
486,史上最强宗主,八两烧刀子,玄幻小说,724573,87,960508,2920,9.7,公众作品,已经完本,Ａ级签约,2015/8/10 17:25
487,喵客信条,半步炼狱,游戏小说,364552,203,1801395,7513,9.9,公众作品,新书上传,Ａ级签约,2016/10/22 21:55
488,大秦之帝国再起,荣誉与忠诚,历史小说,752322,249,3925214,5480,9.8,公众作品,已经完本,Ａ级签约,2016/8/7 12:04
489,武侠世界里的空间能力者,风月人不知,武侠小说,1046623,60,1214812,6026,8.8,公众作品,已经完本,Ａ级签约,2016/3/14 8:10
490,穿越1862,汉风雄烈,历史小说,484705,198,2818797,4320,9.4,公众作品,已经完本,Ａ级签约,2016/5/20 13:57
491,阴司神道阎罗天子,老豆根,仙侠小说,135510,19,826692,708,0,公众作品,连载中,Ａ级签约,2016/9/25 22:46
492,永无安宁,吾即正道,科幻小说,170351,20,1032650,3371,9.4,公众作品,新书上传,Ａ级签约,2016/5/8 18:53
493,我就是好莱坞,贾思特杜,都市小说,312155,493,3122710,5539,9.4,公众作品,新书上传,Ａ级签约,2016/10/22 23:54
494,病娇兄控的养成方法,小木曾孝宏,二次元小说,272400,54,1606344,2221,10,VIP作品,连载中,专属作品,2016/8/5 15:53
495,武侠系统狩末世,补丁1号,科幻小说,1218413,170,2139563,3715,9.2,公众作品,已经完本,Ａ级签约,2015/8/11 23:13
496,光明纪元,血红,玄幻小说,16732564,222,7213162,297997,9.9,公众作品,已经完本,Ａ级签约,2014/2/15 11:12
497,商海谍影,常书欣,都市小说,58219,125,1277645,925,9.8,公众作品,已经完本,签约作品,2015/5/1 10:48
498,超级掠食者系统,蚀月纯黑,都市小说,881110,243,3118586,11502,9.7,公众作品,连载中,Ａ级签约,2016/10/22 23:55
499,次元皇帝,S亲王,科幻小说,306054,41,601985,1970,10,公众作品,已经完本,Ａ级签约,2015/7/5 23:05
500,绝代剑君,弃我,武侠小说,253149,15,312823,1318,10,VIP作品,新书上传,专属作品,2016/2/27 15:23
501,位面劫匪,位面劫匪,科幻小说,778088,232,743079,4186,9.8,公众作品,新书上传,Ａ级签约,2016/10/15 20:41
502,舌尖上的火影,羽加加,二次元小说,444591,62,632249,2198,10,VIP作品,精彩纷呈,专属作品,2016/7/30 22:14
503,帝国之征服者,冷月寒杀,历史小说,393091,11,701061,1335,4.3,公众作品,新书上传,Ａ级签约,2016/3/25 11:31
504,重生金融王朝,吕不正,都市小说,521664,346,1195367,2111,9.4,公众作品,新书上传,Ａ级签约,2016/10/14 7:51
505,超级制服,八月懒蛇,都市小说,304770,11,963994,1859,9.9,公众作品,已经完本,Ａ级签约,2015/8/6 12:01
506,斗罗大陆,唐家三少,玄幻小说,63125594,248,3021128,167447,5.9,公众作品,已经完本,Ａ级签约,2009/12/15 17:36
507,重生之小说巨匠,李白不白,都市小说,1281501,120,1533981,9635,9.1,公众作品,已经完本,Ａ级签约,2015/3/5 22:54
508,三国之仲谋天下,拾一,历史小说,545445,201,4666669,6942,9.9,公众作品,连载中,Ａ级签约,2016/10/22 22:00
509,韩娱之逆遇,一曳随风,都市小说,181307,53,1026071,1991,9.8,公众作品,已经完本,Ａ级签约,2015/8/17 20:02
510,至尊奇迹,月中阴,玄幻小说,303516,13,491741,1930,9.2,公众作品,已经完本,Ａ级签约,2015/4/15 17:59
511,工业中华,雪漂,历史小说,2708561,210,5196203,7625,9.6,公众作品,情节展开,Ａ级签约,2016/10/10 21:59
512,超级资源帝国,尺长寸短,都市小说,512718,92,1817415,2732,8.8,公众作品,已经完本,Ａ级签约,2015/11/29 23:03
513,网游之三国无双,沉默的忧伤,游戏小说,215948,88,5244492,3027,9.8,公众作品,已经完本,签约作品,2016/9/9 0:16
514,黑色韩娱,控尽天下,都市小说,236150,5,1453165,1710,10,公众作品,已经完本,Ａ级签约,2015/9/25 14:31
515,甜点少女的幻想乡之旅,半音阶,二次元小说,58291,3,423340,969,10,VIP作品,新书上传,Ａ级,2016/10/8 2:01
516,萌萌山海经,肥面包,玄幻小说,156102,93,4332239,8659,9.9,公众作品,连载中,签约作品,2016/8/8 19:13
517,渔夫的幸福生活,海黄木,都市小说,472382,242,615777,802,10,公众作品,情节展开,Ａ级签约,2016/10/20 12:31
518,穿越之虫族主宰在异界,小阿帅,仙侠小说,575206,87,1967740,4767,10,公众作品,精彩纷呈,Ａ级签约,2016/8/11 0:35
519,娱乐圈之天王,杨露禅,都市小说,516063,74,685081,2447,10,公众作品,已经完本,Ａ级签约,2015/7/15 23:37
520,假面骑士之深渊,红音也,二次元小说,233810,14,1110283,1592,0,VIP作品,已经完本,Ａ级,2016/8/28 17:21
521,钢铁界,星天萤火,科幻小说,664161,316,3659866,6444,9.6,公众作品,新书上传,Ａ级签约,2016/10/22 22:00
522,跨越时空的旅程,梦的歌谣,科幻小说,179553,100,1333974,1193,10,VIP作品,新书上传,专属作品,2016/8/10 0:25
523,回到过去当术士,竖子不可教,都市小说,465929,305,1744828,2221,9.1,公众作品,精彩纷呈,Ａ级签约,2016/10/23 7:00
524,超级全能控卫,一江寒月,体育小说,564903,489,2897781,5498,9.9,公众作品,新书上传,Ａ级签约,2016/10/22 21:10
525,我的舰娘,卢碧,二次元小说,288617,408,955475,3259,10,公众作品,已经完本,Ａ级签约,2016/9/28 14:25
526,兵者为王,七品,军事小说,211947,130,2794489,1376,9.7,公众作品,已经完本,签约作品,2015/11/28 15:43
527,万道神尊,无为秀才,玄幻小说,685041,193,3071203,3464,9.8,公众作品,已经完本,Ａ级签约,2016/1/2 14:25
528,我的青春不可能注孤独,白喵SaMa,二次元小说,134453,9,519016,1155,10,VIP作品,新书上传,专属作品,2016/8/28 18:50
529,最强剑神系统,皇枫,玄幻小说,1894762,233,2824852,14428,9.4,公众作品,新书上传,Ａ级签约,2016/10/22 21:55
530,网前杀手,魂魄二代,体育小说,344773,108,1285394,2618,9.7,公众作品,已经完本,Ａ级签约,2016/7/6 18:46
531,樱花烂漫之时,好基友的救星,二次元小说,109911,15,504018,2225,10,VIP作品,已经完本,专属作品,2015/12/29 21:22
532,超级电信帝国,老井古柳,都市小说,874768,36,1258925,3358,9.8,公众作品,新书上传,Ａ级签约,2015/11/6 18:19
533,社长天下,风雪天心,都市小说,791221,77,6351668,9546,9.5,公众作品,已经完本,Ａ级签约,2015/12/8 9:07
534,鉴宝秘术,北域神灯,都市小说,900401,498,8014377,5758,8.9,公众作品,新书上传,Ａ级签约,2016/10/23 17:00
535,纨绔毒医,晨光路西法,都市小说,1977102,152,5982450,6500,9.5,公众作品,已经完本,Ａ级签约,2016/6/1 8:00
536,召唤万岁,霞飞双颊,玄幻小说,20124665,172,5271335,53541,9.5,公众作品,已经完本,Ａ级签约,2014/9/4 15:51
537,青子的旅途,虹明天心,二次元小说,116845,9,427987,737,0,VIP作品,新书上传,专属作品,2016/3/4 14:47
538,炉石大领主,丸子大公爵,游戏小说,251516,8,885937,1286,9.5,公众作品,新书上传,Ａ级签约,2015/7/3 17:42
539,大时代之金融之子,范西屏,都市小说,1052049,466,3443790,7835,9.6,公众作品,精彩纷呈,Ａ级签约,2016/10/21 21:29
540,超级包裹,沉默不是低调,游戏小说,904052,43,2864214,9743,9,公众作品,已经完本,Ａ级签约,2016/5/19 23:06
541,大圣手札,妖梦使十御,游戏小说,159520,7,1209614,2122,9.7,公众作品,已经完本,Ａ级签约,2016/4/8 10:34
542,那无限的世界,baka梦云,二次元小说,1497143,182,1569448,5576,9.7,VIP作品,连载中,书坊签约,2016/8/15 23:48
543,清末英雄,贰零肆柒,历史小说,647242,195,5390155,7768,8.7,公众作品,已经完本,Ａ级签约,2016/6/15 19:34
544,医步登天,沐轶,都市小说,450267,102,847359,1470,9.7,公众作品,已经完本,Ａ级签约,2015/3/30 12:01
545,少女大召唤,如倾如诉,科幻小说,1056294,115,5355121,23964,9.7,公众作品,已经完本,Ａ级签约,2015/2/8 20:24
546,盘龙,我吃西红柿,奇幻小说,94527049,253,3356652,231883,5.4,公众作品,已经完本,Ａ级签约,2015/9/21 13:42
547,大贤者成长日记,暗黑芒果,游戏小说,353269,40,1196620,2871,9.7,公众作品,已经完本,Ａ级签约,2015/3/23 12:13
548,香江一九八四,o成佛o,职场小说,388556,100,2207234,4174,9.6,公众作品,已经完本,Ａ级签约,2015/8/2 22:44
549,东方一击人,不会封印,二次元小说,212516,10,376203,2048,0,VIP作品,连载中,专属作品,2016/10/3 22:46
550,带着系统闯武侠,盖紫,武侠小说,264039,76,698499,1139,0,公众作品,已经完本,Ａ级签约,2016/9/2 0:52
551,死神之无影刀,一念长空,二次元小说,1858664,294,643888,2684,9.8,VIP作品,新书上传,专属作品,2016/10/17 23:55
552,无限曙光,zhttty,科幻小说,213678,109,1749169,2946,7.7,公众作品,连载中,签约作品,2016/3/2 17:31
553,斗罗大陆外传神界传说,唐家三少,玄幻小说,1033978,52,204000,5680,9.9,VIP作品,新书上传,授权作品,2016/1/10 20:58
554,末世魔神游戏,石闻,科幻小说,1379272,316,6409800,6594,9.3,公众作品,已经完本,Ａ级签约,2016/8/2 13:19
555,执魔,我是墨水,仙侠小说,2147772,290,5339256,77581,9.8,公众作品,精彩纷呈,Ａ级签约,2016/10/23 7:19
556,电子重生,周硕,职场小说,563520,74,2067582,2833,9.4,公众作品,已经完本,Ａ级签约,2015/4/26 15:10
557,重生之白猫王子,李白不白,都市小说,318352,25,406603,2528,9.3,公众作品,已经完本,Ａ级签约,2015/8/12 16:22
558,无限的大冒险,懒得不想码字,科幻小说,426566,67,1170495,3679,9.8,公众作品,已经完本,Ａ级签约,2016/7/4 23:24
559,笨蛋萌物的觅食计划,不老不死境界妖,二次元小说,134950,20,1111534,1270,10,VIP作品,已经完本,专属作品,2016/4/22 14:18
560,女皇召唤师,落洛,游戏小说,228695,11,1026345,2626,8.9,公众作品,已经完本,Ａ级签约,2015/6/10 22:33
561,仙念,坏坏无极,仙侠小说,1215770,19,2367696,11982,10,公众作品,已经完本,Ａ级签约,2016/5/7 17:43
562,巡查官的世界之旅,北京号巡天舰,二次元小说,183484,66,680132,2549,10,VIP作品,情节展开,专属作品,2016/10/2 16:13
563,七界武神,叶之凡,玄幻小说,376263,172,5110577,6205,9.6,公众作品,连载中,签约作品,2016/10/21 23:03
564,邪风曲,血红,仙侠小说,17197535,115,3011121,4367,9.3,公众作品,已经完本,Ａ级签约,2016/6/1 4:51
565,道统传承系统,云潮,都市小说,957238,144,2044034,4669,9.7,公众作品,已经完本,Ａ级签约,2015/6/18 23:40
566,大唐政治家,软饭崩了牙,历史小说,326740,36,934532,1205,8.9,公众作品,新书上传,Ａ级签约,2015/5/31 10:37
567,禽兽不如的穿越女,从零开始099,历史小说,330636,83,941117,5379,9.8,公众作品,已经完本,Ａ级签约,2016/8/13 22:21
568,祖巫霸世,鸿飞万仞,仙侠小说,558992,70,1323074,3666,9.8,公众作品,已经完本,Ａ级签约,2016/7/10 20:07
569,我的世界物语,冥河追魂,二次元小说,385223,30,1015495,3388,10,VIP作品,精彩纷呈,专属作品,2016/6/16 12:51
570,重生之联盟王者,妖冶娴都,游戏小说,603510,29,1664228,4503,10,公众作品,已经完本,Ａ级签约,2016/3/19 8:53
571,食人魔的美食盒,黑籍,奇幻小说,493850,136,1340796,8987,9.6,公众作品,新书上传,Ａ级签约,2016/10/17 14:07
572,韩娱之阴阳眼,企鹅会灰,职场小说,270255,103,1007337,1368,10,VIP作品,新书上传,专属作品,2016/5/9 0:30
573,宠物小精灵之冰羽泽,孤独的蘑菇.QD,二次元小说,280622,31,1327108,1073,10,VIP作品,已经完本,专属作品,2016/4/6 1:10
